model,fold,mode,n_seeds,mean_macro_f1,mean_delta,std_delta
segformer_b0,1,pred_tyre,3,0.6419348389227907,-0.06253772129689594,0.3582416255089636
segformer_b0,2,full,3,0.8333333333333334,0.0,0.0
segformer_b0,2,oracle_tread,3,0.8333333333333334,0.0,0.0
segformer_b0,2,oracle_tyre,3,0.8333333333333334,0.0,0.0
segformer_b0,2,pred_tread,3,0.8333333333333334,0.0,0.0
segformer_b0,2,pred_tyre,3,0.8510017114668278,0.017668378133494398,0.030602528614551268
segformer_b2,0,full,3,1.0,0.0,0.0
segformer_b2,0,oracle_tread,3,1.0,0.0,0.0
segformer_b2,0,oracle_tyre,3,1.0,0.0,0.0
segformer_b2,0,pred_tread,3,1.0,0.0,0.0
segformer_b2,0,pred_tyre,3,1.0,0.0,0.0
segformer_b2,1,full,3,0.7044725602196866,0.0,0.0
segformer_b2,1,oracle_tread,3,0.6348929250535676,-0.06957963516611904,0.3696316257904102
segformer_b2,1,oracle_tyre,3,0.6451095798641018,-0.05936298035558485,0.35312424344039106
segformer_b2,1,pred_tread,3,0.6565643258503613,-0.04790823436932543,0.31116352944419157
segformer_b2,1,pred_tyre,3,0.6346058632725299,-0.06986669694715676,0.3590389084300721
segformer_b2,2,full,3,0.8333333333333334,0.0,0.0
segformer_b2,2,oracle_tread,3,0.8333333333333334,0.0,0.0
segformer_b2,2,oracle_tyre,3,0.8333333333333334,0.0,0.0
segformer_b2,2,pred_tread,3,0.8333333333333334,0.0,0.0
segformer_b2,2,pred_tyre,3,0.8333333333333334,0.0,0.0
unet_r34,0,full,3,1.0,0.0,0.0
unet_r34,0,oracle_tread,3,1.0,0.0,0.0
unet_r34,0,oracle_tyre,3,1.0,0.0,0.0
unet_r34,0,pred_tread,3,1.0,0.0,0.0
unet_r34,0,pred_tyre,3,1.0,0.0,0.0
unet_r34,1,full,3,0.7044725602196866,0.0,0.0
unet_r34,1,oracle_tread,3,0.6348929250535676,-0.06957963516611904,0.3696316257904102
unet_r34,1,oracle_tyre,3,0.6451095798641018,-0.05936298035558485,0.35312424344039106
unet_r34,1,pred_tread,3,0.64137168812621,-0.0631008720934766,0.34807162219205556
unet_r34,1,pred_tyre,3,0.6346058632725299,-0.06986669694715676,0.3590389084300721
unet_r34,2,full,3,0.8333333333333334,0.0,0.0
unet_r34,2,oracle_tread,3,0.8333333333333334,0.0,0.0
unet_r34,2,oracle_tyre,3,0.8333333333333334,0.0,0.0
unet_r34,2,pred_tread,3,0.8333333333333334,0.0,0.0
unet_r34,2,pred_tyre,3,0.8333333333333334,0.0,0.0
yolo26n_det,0,full,3,1.0,0.0,0.0
yolo26n_det,0,oracle_tread,3,1.0,0.0,0.0
yolo26n_det,0,oracle_tyre,3,1.0,0.0,0.0
yolo26n_det,0,pred_tread,3,1.0,0.0,0.0
yolo26n_det,0,pred_tyre,3,1.0,0.0,0.0
yolo26n_det,1,full,3,0.7044725602196866,0.0,0.0
yolo26n_det,1,oracle_tread,3,0.6348929250535676,-0.06957963516611904,0.3696316257904102
yolo26n_det,1,oracle_tyre,3,0.6451095798641018,-0.05936298035558485,0.35312424344039106
yolo26n_det,1,pred_tread,3,0.6676179266672188,-0.036854633552467965,0.31720921488966863
yolo26n_det,1,pred_tyre,3,0.6451095798641018,-0.05936298035558485,0.35312424344039106
yolo26n_det,2,full,3,0.8333333333333334,0.0,0.0
yolo26n_det,2,oracle_tread,3,0.8333333333333334,0.0,0.0
yolo26n_det,2,oracle_tyre,3,0.8333333333333334,0.0,0.0
yolo26n_det,2,pred_tread,3,0.8333333333333334,0.0,0.0
yolo26n_det,2,pred_tyre,3,0.8564593301435407,0.0231259968102073,0.04005540145095483
yolo26n_seg,0,full,3,1.0,0.0,0.0
yolo26n_seg,0,oracle_tread,3,1.0,0.0,0.0
yolo26n_seg,0,oracle_tyre,3,1.0,0.0,0.0
yolo26n_seg,0,pred_tread,3,1.0,0.0,0.0
yolo26n_seg,0,pred_tyre,3,1.0,0.0,0.0
yolo26n_seg,1,full,3,0.7044725602196866,0.0,0.0
yolo26n_seg,1,oracle_tread,3,0.6348929250535676,-0.06957963516611904,0.3696316257904102
yolo26n_seg,1,oracle_tyre,3,0.6451095798641018,-0.05936298035558485,0.35312424344039106
yolo26n_seg,1,pred_tread,3,0.6825618923742139,-0.021910667845472798,0.23341707242288987
yolo26n_seg,1,pred_tyre,3,0.6484296359954326,-0.056042924224254144,0.347785082085782
yolo26n_seg,2,full,3,0.8333333333333334,0.0,0.0
yolo26n_seg,2,oracle_tread,3,0.8333333333333334,0.0,0.0
yolo26n_seg,2,oracle_tyre,3,0.8333333333333334,0.0,0.0
yolo26n_seg,2,pred_tread,3,0.8564593301435407,0.0231259968102073,0.04005540145095483
yolo26n_seg,2,pred_tyre,3,0.8510017114668278,0.017668378133494398,0.030602528614551268
yolo26s_det,0,full,3,1.0,0.0,0.0
yolo26s_det,0,oracle_tread,3,1.0,0.0,0.0
yolo26s_det,0,oracle_tyre,3,1.0,0.0,0.0
yolo26s_det,0,pred_tread,3,1.0,0.0,0.0
yolo26s_det,0,pred_tyre,3,1.0,0.0,0.0
yolo26s_det,1,full,3,0.7044725602196866,0.0,0.0
yolo26s_det,1,oracle_tread,3,0.6348929250535676,-0.06957963516611904,0.3696316257904102
yolo26s_det,1,oracle_tyre,3,0.6451095798641018,-0.05936298035558485,0.35312424344039106
yolo26s_det,1,pred_tread,3,0.6843171223405141,-0.020155437879172528,0.2798817757191677
yolo26s_det,1,pred_tyre,3,0.6625131382384695,-0.041959421981217215,0.3252925912540022
yolo26s_det,2,full,3,0.8333333333333334,0.0,0.0
yolo26s_det,2,oracle_tread,3,0.8333333333333334,0.0,0.0
yolo26s_det,2,oracle_tyre,3,0.8333333333333334,0.0,0.0
yolo26s_det,2,pred_tread,3,0.8333333333333334,0.0,0.0
yolo26s_det,2,pred_tyre,3,0.8333333333333334,0.0,0.0
yolo26s_seg,0,full,3,1.0,0.0,0.0
yolo26s_seg,0,oracle_tread,3,1.0,0.0,0.0
yolo26s_seg,0,oracle_tyre,3,1.0,0.0,0.0
yolo26s_seg,0,pred_tread,3,1.0,0.0,0.0
yolo26s_seg,0,pred_tyre,3,1.0,0.0,0.0
yolo26s_seg,1,full,3,0.7044725602196866,0.0,0.0
yolo26s_seg,1,oracle_tread,3,0.6348929250535676,-0.06957963516611904,0.3696316257904102
yolo26s_seg,1,oracle_tyre,3,0.6451095798641018,-0.05936298035558485,0.35312424344039106
yolo26s_seg,1,pred_tread,3,0.7178426053251471,0.013370045105460396,0.22934119460546828
yolo26s_seg,1,pred_tyre,3,0.6487585157519798,-0.05571404446770687,0.34725690789172775
yolo26s_seg,2,full,3,0.8333333333333334,0.0,0.0
yolo26s_seg,2,oracle_tread,3,0.8333333333333334,0.0,0.0
yolo26s_seg,2,oracle_tyre,3,0.8333333333333334,0.0,0.0
yolo26s_seg,2,pred_tread,3,0.8333333333333334,0.0,0.0
yolo26s_seg,2,pred_tyre,3,0.8333333333333334,0.0,0.0
