arch,factor,fold,seed,f1,delta_vs_stage_a
regnety016,lr_low,1,3,0.6203703703703703,-0.08073274713562495
regnety016,prep_clahe,1,1,0.6187933929869414,-0.09464067012334754
regnety016,prep_clahe,1,2,0.7640287769784173,-0.2359712230215827
regnety016,prep_clahe,1,3,0.7071428571428572,0.006039739636861885
regnety016,prep_gray,1,1,0.6525749478952568,-0.06085911521503207
regnety016,prep_gray,1,2,0.6203703703703703,-0.37962962962962965
regnety016,prep_gray,1,3,0.6203703703703703,-0.08073274713562495
regnety016,res224,1,1,0.6203703703703703,-0.09306369273991855
regnety016,res224,1,2,0.6541236541236541,-0.34587634587634586
regnety016,res224,1,3,0.6541236541236541,-0.04697946338234116
regnety016,res512,1,1,0.6124420782805875,-0.1009919848297014
regnety016,res512,1,2,0.6203703703703703,-0.37962962962962965
regnety016,res512,1,3,0.6203703703703703,-0.08073274713562495
regnety016,roi_tyre,1,1,0.7866963953920475,0.0732623322817586
regnety016,roi_tyre,1,2,1.0,0.0
regnety016,roi_tyre,1,3,0.6203703703703703,-0.08073274713562495
regnety016,sampler_classweighted,1,1,0.977165135059872,0.2637310719495831
regnety016,sampler_classweighted,1,2,0.7396825396825397,-0.2603174603174603
regnety016,sampler_classweighted,1,3,0.8464027245636441,0.14529960705764877
regnety016,sampler_uniform,1,1,0.7134340631102889,0.0
regnety016,sampler_uniform,1,2,0.6187933929869414,-0.38120660701305864
regnety016,sampler_uniform,1,3,0.8640132669983416,0.16291014949234628
regnety016,transfer_random,1,1,0.8016129032258065,0.08817884011551758
regnety016,transfer_random,1,2,0.6460067838421215,-0.3539932161578785
regnety016,transfer_random,1,3,0.697925101214575,-0.003178016291420338
regnety016,wd_low,1,1,0.6834993725865379,-0.029934690523750973
regnety016,wd_low,1,2,0.6135133130608915,-0.3864866869391085
regnety016,wd_low,1,3,0.7011031175059953,0.0
resnet50,ft_frozen,1,1,0.5642762762762762,-0.3313799213060016
resnet50,ft_frozen,1,2,0.4640522875816993,-0.1430905695611579
resnet50,ft_frozen,1,3,0.4640522875816993,-0.46173956762192053
resnet50,head_ce,1,1,0.7982363315696649,-0.09741986601261288
resnet50,head_ce,1,2,0.6445855379188713,0.03744268077601409
resnet50,head_ce,1,3,0.8565192519251924,-0.06927260327842744
resnet50,lr_low,1,1,0.7396825396825397,-0.15597365789973805
resnet50,lr_low,1,2,0.608003108003108,0.0008602508602507664
resnet50,lr_low,1,3,0.9624466571834992,0.03665480197987936
resnet50,prep_clahe,1,1,0.6159512255816847,-0.2797049720005931
resnet50,prep_clahe,1,2,0.6071428571428572,0.0
resnet50,prep_clahe,1,3,1.0,0.07420814479638016
resnet50,prep_gray,1,1,0.6203703703703703,-0.2752858272119074
resnet50,prep_gray,1,2,0.6071428571428572,0.0
resnet50,prep_gray,1,3,0.989159891598916,0.0633680363952962
resnet50,res224,1,1,0.6203703703703703,-0.2752858272119074
resnet50,res224,1,2,0.6203703703703703,0.013227513227513144
resnet50,res224,1,3,0.608003108003108,-0.31778874720051187
resnet50,res512,1,1,0.6071428571428572,-0.28851334043942056
resnet50,res512,1,2,0.6203703703703703,0.013227513227513144
resnet50,res512,1,3,0.7866963953920475,-0.13909545981157234
resnet50,roi_tyre,1,1,0.6541236541236541,-0.24153254345862363
resnet50,roi_tyre,1,2,0.6105882352941178,0.0034453781512605586
resnet50,roi_tyre,1,3,0.6071428571428572,-0.31864899806076263
resnet50,sampler_classweighted,1,1,0.9624466571834992,0.06679045960122143
resnet50,sampler_classweighted,1,2,0.7325659472422063,0.12542309009934904
resnet50,sampler_classweighted,1,3,1.0,0.07420814479638016
resnet50,sampler_uniform,1,1,0.6541236541236541,-0.24153254345862363
resnet50,sampler_uniform,1,2,0.7640287769784173,0.1568859198355601
resnet50,sampler_uniform,1,3,0.893312516263336,-0.032479338940283875
resnet50,transfer_random,1,1,0.9126885536823424,0.017032356100064594
resnet50,transfer_random,1,2,0.989159891598916,0.38201703445605883
resnet50,transfer_random,1,3,0.6203703703703703,-0.3054214848332495
resnet50,wd_low,1,1,0.6541236541236541,-0.24153254345862363
resnet50,wd_low,1,2,0.6071428571428572,0.0
resnet50,wd_low,1,3,0.7396825396825397,-0.18610931552108012
